"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_rusticmods_get_language","0","0","1","2","3","4","5","6","7","8","9","10","11","12",
"str_inventorymanagermenu_title","Inventory Manager - Admin Menu","Inventory Manager - Admin Menu","Správce zásob - nabídka správce","Inventory Manager - Admin -Menü","Менеджер инвентаризации - меню администратора","Menedżer zapasów - menu administratora","Készletkezelő - Admin menü","Manager di inventario - menu amministratore","Administrador de inventario - Menú de administración","Manager des stocks - menu d'administration","人物角色 - 管理員選單","在庫マネージャー - 管理メニュー","Gerente de inventário - menu administrador","人物角色 - 管理员菜单",
"str_inventorymanagermenu_updatelist","Update List","Update List","Seznam aktualizace","Aktualisierungsliste","Обновление списка","Lista aktualizacji","Frissítési lista","Elenco degli aggiornamenti","Lista de actualizaciones","Liste de mise à jour","更新列表","更新リスト","Lista de atualizações","更新列表",
"str_inventorymanagermenu_togglepreview","Toggle Player Preview","Toggle Player Preview","Přepněte náhled hráče","Vorschau des Spielers umschalten","ПРЕДУПРЕЖДЕНИЕ ПЕРЕКЛЮЧЕНИЯ ПРЕИМУЩЕНИЯ","Przełącz podgląd odtwarzacza","Váltás a lejátszó előnézete","Attiva anteprima del giocatore","Vista previa del jugador de al revés","Faire un aperçu des joueurs","切換玩家預覽","トグルプレーヤーのプレビュー","TOLGLE PLAYER Visualizar","切换玩家预览",
"str_inventorymanagermenu_clearinventory","Clear Inventory","Clear Inventory","Jasný inventář","Klares Inventar","Четкий инвентарь","Jasne zapasy","Tiszta leltár","Chiaro inventario","Inventario claro","Inventaire effacer","清空背包","クリアインベントリ","Inventário claro","清空背包",
"str_inventorymanagermenu_additem","Add Item","Add Item","Přidat položku","Artikel hinzufügen","Добавить пункт","Dodaj element","Tétel hozzáadása","Aggiungi articolo","Agregar elemento","Ajouter","添加物品","アイテムを追加します","Adicionar item","添加物品",
"str_inventorymanagermenu_repairall","Repair All","Repair All","Opravte všechny","Alle reparieren","Ремонтировать все","Napraw wszystko","Javítsa meg az összeset","Ripara tutto","Reparar todo","Réparer tout","修理全部","すべて修復します","Repare tudo","修理全部",
"str_inventorymanagermenu_search","Search here...","Search here...","Hledejte zde ...","Suche hier ...","Поиск здесь ...","Wyszukaj tutaj ...","Keressen itt ...","Cerca qui ...","Buscar aquí ...","Recherche ici ...","在这里搜索...","ここで検索してください...","Pesquise aqui ...","在这里搜索...",
"str_inventorymanagermenu_clearsearch","Clear","Clear","Jasný","Klar","Прозрачный","Jasne","Világos","Chiaro","Claro","Clair","清除","クリア","Claro","清除",
"str_inventorymanagermenu_all","All","All","Vše","Alle","Все","Wszystko","Minden","Tutto","Todo","Tous","全部","全て","Todos","全部",
"str_inventorymanagermenu_quantity","Quantity:","Quantity:","Množství:","Menge:","Количество:","Ilość:","Mennyiség:","Quantità:","Cantidad:","Quantité:","数量：","量：","Quantidade:","数量：",
"str_inventorymanagermenu_set","Set","Set","Soubor","Satz","Набор","Ustawić","Készlet","Impostato","Colocar","Ensemble","放置","セット","Definir","放置",
"str_inventorymanagermenu_selecteditem","Selected Item : {0}","Selected Item : {0}","Vybraná položka: {0}","Ausgewähltes Element: {0}","Выбранный элемент: {0}","Wybrany element: {0}","Kiválasztott elem: {0}","Elemento selezionato: {0}","Artículo seleccionado: {0}","Élément sélectionné: {0}","選定物品：{0}","選択されたアイテム：{0}","Item selecionado: {0}","选定物品：{0}",
"str_inventorymanagermenu_spawniteminventory","Spawn Item In Inventory","Spawn Item In Inventory","Vytvoření položky v inventáři","Laichartikel im Inventar","Ставник в инвентаре","Przedmiot odradzania w zapasach","SPAWN tétel a készletben","Spawn Articolo nell'inventario","Artículo de desove en el inventario","Article d'apparition dans l'inventaire","背包里生成物品","在庫にアイテムをスポーンします","Item de Spawn no inventário","背包里生成物品",
"str_inventorymanagermenu_spawnitemplayer","Spawn Item on Player","Spawn Item on Player","Vytvořte položku na hráče","Laichartikel auf Spieler","Ставник на игровом","Pozycja odradzania na graczu","Ívott elem a lejátszón","Spawn Articolo sul giocatore","Artículo de engendimiento en el jugador","Article de ponte sur le joueur","玩家身上生成物品","プレーヤーにアイテムをスポーンします","Item de desova no jogador","玩家身上生成物品",
"str_inventorymanagermenu_spawnitemattachments","Spawn available attachments? [BUGGY]","Spawn available attachments? [BUGGY]","Spawn dostupné přílohy? [Buggy]","Spawn verfügbare Anhänge? [BUGGY]","Spawn доступные вложения? [Багги]","Spawn Dostępne załączniki? [POWOZIK]","Ívott mellékletek? [BRICSKA]","Spawn Allegati disponibili? [Buggy]","¿Los accesorios disponibles? [CALESA]","Spawn disponible des pièces jointes? [Buggy]","產生可用的附件嗎？ [越野车]","利用可能な添付ファイルをスポーンしますか？ [バギー]","Anexos disponíveis? [Buggy]","生成可用的附件吗？ [越野车]",
"str_inventorymanagermenu_teleporttoplayer","Teleport to Player","Teleport to Player","Teleport pro hráče","Teleportieren zum Spieler","Телепорт игроку","Teleportować się do gracza","Teleportál a játékosnak","Teletrasportarsi al giocatore","Teletransportar al jugador","Téléporter au joueur","傳送到玩家","プレイヤーにテレポート","Teleporte para o jogador","传送到玩家",
